 ,GENG-B,Title,Country.x,Country.y,DocDate,InForce,End,GEN.ID,IEA,ECOLEX,James,Xiaolei,Frederic,Google in English,Download Treaty,Amended by,Suspended by,Amends,Supersedes,Lineage,Sequence,Secretariat,Website,AdoptPlace,FullText,DocLangs,Keywords,Data,Articles..etc.,Issue,enabledByTreaty,searchDate,obsolete,abstract,region,subject,officialPublication,Form,Type,Mutuality,Subject,Target,Species,Area
%,GENG-908,Agreement On Fisheries And Exchange Of Letters Between The Government Of Australia And The Government Of The Republic Of Korea,AUS,KOR,1983-11-23,1983-11-24,NA,GFG-605,IEA-640,NA,,,Still in force | http://www.info.dfat.gov.au/Info/Treaties/treaties.nsf/AllDocIDs/D3ADE11AA611A643CA256BAA0014CB93,http://www.google.ch/search?q=Agreement+On+Fisheries+And+Exchange+Of+Letters+Between+The+Government+Of+Australia+And+The+Government+Of+The+Republic+Of+Korea+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=5tpRVe30LoOXsAHCkYFo,Yes,"GENG-909, GENG-933, GENG-955, GENG-984, GENG-1014",,,,Australia Korea Squid Jigging,100,No known secretariat,,,,,,,,Fisheries,,,,,,,,Letters,Agreement,,Fishing,,Fish,
%,GENG-933,Subsidiary Agreement Between The Government Of Australia And The Government Of The Republic Of Korea Concerning Squid Jigging By Fishing Vessels Of The Republic Of Korea,AUS,KOR,1984-10-16,1984-10-01,1985-09-30,GFG-620,IEA-652,NA,,,End date listed in Australian Treaty Database | http://www.info.dfat.gov.au/Info/Treaties/treaties.nsf/AllDocIDs/0858C03CF46DA7FCCA256BAA0017EFCA,http://www.google.ch/search?q=Subsidiary+Agreement+Between+The+Government+Of+Australia+And+The+Government+Of+The+Republic+Of+Korea+Concerning+Squid+Jigging+By+Fishing+Vessels+Of+The+Republic+Of+Korea+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=59pRVb79B8HBsgG_5oGICA,Yes,,,GENG-908,GENG-909,Australia Korea Squid Jigging,300,No known secretariat,,,,,,,,Fisheries | Ocean,,,,,,,,Agreement,Agreement,,,,Squid,
%,GENG-955,Subsidiary Agreement Between The Government Of Australia And The Government Of The Republic Of Korea Concerning Squid Jigging By Fishing Vessels Of The Republic Of Korea,AUS,KOR,1985-11-28,NA,1986-09-30,GFG-641,IEA-670,NA,,,End date listed in Australian Treaty Database | Agreement was provisionally applied from 01.10.1985 onwards | http://www.info.dfat.gov.au/Info/Treaties/treaties.nsf/AllDocIDs/025CA20E2BD0EFEECA256BAA007C6F1D,http://www.google.ch/search?q=Subsidiary+Agreement+Between+The+Government+Of+Australia+And+The+Government+Of+The+Republic+Of+Korea+Concerning+Squid+Jigging+By+Fishing+Vessels+Of+The+Republic+Of+Korea+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=59pRVcS3DcSXsAHxlICoCA,No,GENG-972,,GENG-908,,Australia Korea Squid Jigging,400,No known secretariat,,,,,,,,Fisheries | Ocean,,,,,,,,Agreement,Agreement,,,,Squid,
%,GENG-972,Exchange Of Notes Constituting An Agreement To Amend Articles I And III Of The Subsidiary Agreement Between The Government Of Australia And The Government Of The Republic Of Korea Concerning Squid Jigging By Fishing Vessels Of The Republic Of Korea,AUS,KOR,1986-08-20,1986-01-21,1986-09-30,GFG-656,IEA-681,NA,,,End date listed in Australian Treaty Database | http://www.info.dfat.gov.au/Info/Treaties/treaties.nsf/AllDocIDs/DDC9BF893A5E7DF0CA256BAA008349AC,http://www.google.ch/search?q=Exchange+Of+Notes+Constituting+An+Agreement+To+Amend+Articles+I+And+III+Of+The+Subsidiary+Agreement+Between+The+Government+Of+Australia+And+The+Government+Of+The+Republic+Of+Korea+Concerning+Squid+Jigging+By+Fishing+Vessels+Of+The+Republic+Of+Korea+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=5tpRVcueOoOrsAGlyYDwAg,Yes,,,GENG-955,,Australia Korea Squid Jigging,400.01,No known secretariat,,,,,,,,Fisheries | Ocean,,,,,,,,Notes,Amendment,,,,Squid,
%,GENG-984,Subsidiary Agreement Between The Government Of Australia And The Government Of The Republic Of Korea Concerning Squid Jigging By Fishing Vessels Of The Republic Of Korea,AUS,KOR,1986-12-16,NA,1987-09-30,GFG-659,IEA-689,NA,,,End date listed in Australian Treaty Database | http://www.info.dfat.gov.au/Info/Treaties/treaties.nsf/AllDocIDs/DDC9BF893A5E7DF0CA256BAA008349AC,http://www.google.ch/search?q=Subsidiary+Agreement+Between+The+Government+Of+Australia+And+The+Government+Of+The+Republic+Of+Korea+Concerning+Squid+Jigging+By+Fishing+Vessels+Of+The+Republic+Of+Korea+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=59pRVZOlEsqjsAHFn4CoAw,No,,,GENG-908,,Australia Korea Squid Jigging,500,No known secretariat,,,,,,,,Fisheries | Ocean,,,,,,,,Agreement,Agreement,,,,Squid,
%,GENG-1014,Subsidiary Agreement Between The Government Of Australia And The Government Of The Republic Of Korea Concerning Squid Jigging By Fishing Vessels Of The Republic Of Korea,AUS,KOR,1987-12-10,NA,1988-09-30,GFG-673,IEA-711,NA,,,End date listed in Australian Treaty Database | http://www.info.dfat.gov.au/Info/Treaties/treaties.nsf/AllDocIDs/BED0291E65144849CA256BAB007C20FE,http://www.google.ch/search?q=Subsidiary+Agreement+Between+The+Government+Of+Australia+And+The+Government+Of+The+Republic+Of+Korea+Concerning+Squid+Jigging+By+Fishing+Vessels+Of+The+Republic+Of+Korea+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=59pRVcuJF8i2swGU4oGQDQ,No,,,GENG-908,,Australia Korea Squid Jigging,600,No known secretariat,,,,,,,,Fisheries | Ocean,,,,,,,,Agreement,Agreement,,,,Squid,
%,GENG-1419,Exchange Of Notes Constituting An Agreement Concerning The Retransfer Of Australian Obligated Nuclear Material Under The Agreement Between The Government Of Australia And The Government Of The Republic Of Korea Concerning The Cooperation In Peaceful Uses Of Nuclear Energy And The Transfer Of Nuclear Material,AUS,KOR,1997-08-11,NA,NA,,IEA-1092,NA,,,Still in force | Listed under amendments of IEA-584 under http://www.info.dfat.gov.au/Info/Treaties/treaties.nsf/AllDocIDs/32E2C7E92BFB3B51CA256AE8001565C4,http://www.google.ch/search?q=Exchange+Of+Notes+Constituting+An+Agreement+Concerning+The+Retransfer+Of+Australian+Obligated+Nuclear+Material+Under+The+Agreement+Between+The+Government+Of+Australia+And+The+Government+Of+The+Republic+Of+Korea+Concerning+The+Cooperation+In+Peaceful+Uses+Of+Nuclear+Energy+And+The+Transfer+Of+Nuclear+Material+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=5tpRVavENMyOsAGsnIHIBg,No,GENG-813,,,,,,,,,NA,,,,,Energy,,,,,,,,,,,,,,
%,GENG-1156,Agreement Between The Government Of Australia And The Government Of The United Mexican States Concerning Cooperation In Peaceful Uses Of Nuclear Energy,AUS,MEX,1992-07-28,1992-07-17,NA,,IEA-836,NA,,,Still in force | http://www.info.dfat.gov.au/Info/Treaties/treaties.nsf/AllDocIDs/C3ED6EE5AA0CAF7CCA256AED00182A8A,http://www.google.ch/search?q=Agreement+Between+The+Government+Of+Australia+And+The+Government+Of+The+United+Mexican+States+Concerning+Cooperation+In+Peaceful+Uses+Of+Nuclear+Energy+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=59pRVazWHMKmsgHFtoC4Bw,No,,,,,Not Yet Assigned,100,No known secretariat,,Canberra,,,energy | nuclear | nuclear energy,,,ENERGY,,,,,,,,,,,,,,
%,GENG-1511,Agreement between the Government of Australia and the Government of New Zealand concerning the Transfer of Uranium ,AUS,NZL,1999-09-14,2000-05-01,NA,,NA,NA,,,Still in force | Treaty added by Frederic in subject area Energy from http://www.info.dfat.gov.au/Info/Treaties/treaties.nsf/AllDocIDs/761B2456F7D99FFBCA256AEE001923BF,,No,,,,,,,,,,,,,,,Energy,,,,,,,,,,,,,,
%,GENG-1523,Arrangement between the Government of Australia and the Government of New Zealand for the Conservation and Management of the Orange Roughy on the South Tasman Rise,AUS,NZL,2000-02-25,2000-03-01,NA,GFG-956,NA,TRE-152643,,,Still in force as confirmed by Australian Department of Foreign Affairs and Trad,http://www.google.ch/search?q=Arrangement+between+the+Government+of+Australia+and+the+Government+of+New+Zealand+for+the+Conservation+and+Management+of+the+Orange+Roughy+on+the+South+Tasman+Rise+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=59pRVaC2IoaPsgGF6ICQAg,Yes,,,,,,NA,,,,,English,marine fisheries|fishery management and conservation|migratory species|total allowable catch|data collection/reporting|research|enforcement/compliance|foreign fishing|landing,,,Fisheries,,,,,,,,,Agreement,,,South Tasman Rise,Orange Roughy,South Tasman Rise
%,GENG-1674,Treaty between the Government of Australia and the Government of New Zealand establishing certain Exclusive Economic Zone and Continental Shelf Boundaries,AUS,NZL,2004-07-25,NA,NA,,NA,NA,,,Treaty added by Frederic in subject area Ocean from http://www.un.org/depts/los/LEGISLATIONANDTREATIES/STATEFILES/AUS.htm,,No,,,,,,,,,,,,,,,Ocean,,,,,,,,,,,,,,
%,GENG-786,Agreement Concerning Cooperation In The Peaceful Uses Of Nuclear Energy And The Transfer Of Nuclear Material,AUS,PHL,1978-08-08,NA,NA,,IEA-564,NA,,,Still in force | http://www.aph.gov.au/parliamentary_business/committees/house_of_representatives_committees?url=jsct/nuclearnon_proliferation/report/appendixe.htm,http://www.google.ch/search?q=Agreement+Concerning+Cooperation+In+The+Peaceful+Uses+Of+Nuclear+Energy+And+The+Transfer+Of+Nuclear+Material+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=59pRVev_JsausQHoloHgBw,No,,,,,,NA,,,,,,,,,ENERGY,,,,,,,,,,,,,,
%,GENG-796,"Treaty Between Australia And The Independent State Of Papua New Guinea Concerning Sovereignty And Maritime Boundaries In The Area Between The Two Countries, Including The Area Known As Torres Strait, And Related Matters",AUS,PNG,1978-12-18,1985-02-15,NA,GFG-551,IEA-1718,TRE-151788,,,Still in force | http://www.un.org/depts/los/LEGISLATIONANDTREATIES/STATEFILES/AUS.htm,"http://www.google.ch/search?q=Treaty+Between+Australia+And+The+Independent+State+Of+Papua+New+Guinea+Concerning+Sovereignty+And+Maritime+Boundaries+In+The+Area+Between+The+Two+Countries,+Including+The+Area+Known+As+Torres+Strait,+And+Related+Matters+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=59pRVfD6LMaKsAHK3oCoCw",No,,,,,Not Yet Assigned,100,No known secretariat,www.dfat.gov.au/geo/torres_strait/,Sydney,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-151788.htm,English,international agreement-text | maritime zone | territorial sea | marine fisheries | traditional rights/customary rights | fishery management and conservation | protected fishing area | marine pollution | international organization | total allowable catch | foreign fishing | fishing licence | access right | navigation | enforcement/compliance | offences/penalties | management/conservation,NA,NA,Fisheries | Ocean,NA,18/12/1978,FALSE,"The text of the Agreement consists of a Preamble, 32 articles divided into 6 Parts, and 9 Annexes. The Parts are: Definitions (1); Sovereignty and jurisdiction (2); Sovereignty and jurisdiction - related matters (3); The Protected Zone (4); Protected Zone commercial fisheries (5); Final articles (6).Part 2 makes provision for sovereignty and maritime jurisdiction of Australia respectively Papua New Guinea over parts of the area known as Torres Strait and establishes boundaries of the territorial seas of Papua New Guinea. Article 4 delimits also the areas in which Australia respectively Papua New Guinea shall have fisheries jurisdiction. Boundary lines are described in the Annexes. A Protected Zone in the Torres Strait is established (art. 10). The principal objective of establishing the Zone bounded by lines indicated in Annex 9 is to protect the traditional way of live and livelihood of traditional inhabitants including their traditional fishing. A further purpose is to protect the marine environment in the Zone. The Parties shall, where appropriate, negotiate subsidiary conservation and management arrangements in respect of any individual Protected Zone commercial fishery (art. 22). Articles 23, 24 and 25 provide for the sharing of total allowable catch of the Protected Zone. Other provisions of Part 5 deal with licensing arrangements, third state fishing in the Protected Zone and inspection and enforcement measures.",,Fisheries | Sea,www.austlii.edu.au,Treaty,Agreement,Reciprocal,Delimitation,Torres Strait,,Torres Strait
%,GENG-1068,Agreement Between The Government Of Australia And The Government Of The Union Of Soviet Socialist Republics Concerning The Peaceful Uses Of Nuclear Energy,AUS,RUS,1990-02-15,1990-02-15,2010-11-11,,IEA-752,NA,,,Superseded by new agreement with Government of the Russian Federation | http://www.comlaw.gov.au/Details/F2012L02423/Explanatory%20Statement/Text |  http://www.aph.gov.au/parliamentary_business/committees/house_of_representatives_committees?url=jsct/nuclearnon_proliferation/report/appendixe.htm,http://www.google.ch/search?q=Agreement+Between+The+Government+Of+Australia+And+The+Government+Of+The+Union+Of+Soviet+Socialist+Republics+Concerning+The+Peaceful+Uses+Of+Nuclear+Energy+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=59pRVeLoMYm4sQGTrYC4Dg,No,,GENG-1771,,,Not Yet Assigned,100,No known secretariat,,Canberra,,,energy | nuclear | nuclear energy,,,ENERGY,,,,,,,,,,,,,,
%,GENG-1069,Agreement Between The Government Of Australia And The Government Of The Union Of The Soviet Socialist Republics Relating To Cooperation In Fisheries,AUS,RUS,1990-02-15,1990-02-15,1993-02-14,GFG-705,IEA-751,NA,,,End date listed in Australian Treaty Database | http://www.info.dfat.gov.au/Info/Treaties/treaties.nsf/AllDocIDs/2AD14C6EBBE21E63CA256BAC0000C875 | Listed under https://treaties.un.org/Pages/showDetails.aspx?objid=08000002800c0831,http://www.google.ch/search?q=Agreement+Between+The+Government+Of+Australia+And+The+Government+Of+The+Union+Of+The+Soviet+Socialist+Republics+Relating+To+Cooperation+In+Fisheries+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=59pRVZ_KNoWVsgHbzYDQAQ,Yes,,,,,,100,No known secretariat,,,,,,,,Fisheries,,,,,,,,Agreement,Agreement,,Fisheries Cooperation,,Fish,
%,GENG-1771,Agreement between the government of the Russian Federation and the Government of Australia on cooperation in the sphere of utilization of nuclear energy for peaceful purposes,AUS,RUS,2007-09-07,2010-11-11,NA,,NA,TRE-151302,,,Still in force | Listed under http://www.info.dfat.gov.au/Info/Treaties/treaties.nsf/AllDocIDs/92C9D49C7A83C050CA25735200256208,http://www.google.ch/search?q=Agreement+between+the+government+of+the+Russian+Federation+and+the+Government+of+Australia+on+cooperation+in+the+sphere+of+utilization+of+nuclear+energy+for+peaceful+purposes+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=59pRVf-tO4SxsAH384DgDw,No,,,,GENG-1068,,NA,,www.government.ru,Sydney,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-151302.doc,Russian | English,international agreement-text | nuclear energy | radiation | radioactive waste | research,,,ENERGY,NA,7/9/2007,false,"The Parties have agreed to cooperate in the transfer of nuclear materials, equipment, components and technology. Cooperation shall be carried out in the following fields: (a) fundamental and applied research; (b) elaboration, projecting, construction putting in and out of operation of nuclear power plants; (c) use of nuclear reactors for energy generation; (d) management of spent fuel and radioactive waste, (e) radiation safety and protection against radiation; and (f) use of nuclear radiation in agriculture. Cooperation shall be carried out in the following forms: (a) exchange of information; (b) training of specialists; (c) symposia and seminars; and (d) transfer of equipment and technologies.",,Energy,,,,,,,,
%,GENG-1065,Exchange Of Notes Between The Government Of Australia And The Government Of The Republic Of Singapore Constituting An Agreement Concerning Cooperation On The Physical Protection Of Nuclear Material,AUS,SGP,1989-12-15,NA,NA,,IEA-746,NA,,,Still in force | http://www.aph.gov.au/parliamentary_business/committees/house_of_representatives_committees?url=jsct/nuclearnon_proliferation/report/appendixe.htm,http://www.google.ch/search?q=Exchange+Of+Notes+Between+The+Government+Of+Australia+And+The+Government+Of+The+Republic+Of+Singapore+Constituting+An+Agreement+Concerning+Cooperation+On+The+Physical+Protection+Of+Nuclear+Material+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=6NpRVYKIA8OcsAHxsIHACg,No,,,,,,,,,,NA,,,,,Energy,,,,,,,,,,,,,,
%,GENG-1032,Agreement between the Government of Solomon Islands and the Government of Australia establishing certain sea and seabed boundaries,AUS,SLB,1988-09-13,NA,NA,,NA,TRE-148699,,,Still in force | http://www.un.org/depts/los/LEGISLATIONANDTREATIES/STATEFILES/AUS.htm,http://www.google.ch/search?q=Agreement+between+the+Government+of+Solomon+Islands+and+the+Government+of+Australia+establishing+certain+sea+and+seabed+boundaries+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=6NpRVZbvB4yZsAHSzIHQDQ,No,,,,,NA,NA,NA,NA,Honiara,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-148699.htm,English,international agreement-text | maritime zone | continental shelf | EEZ-Exclusive Economic Zone | dispute settlement,NA,NA,OCEAN,NA,13/9/1988,FALSE,"Agreement to provide for equitable delimitation of the respective maritime areas in which the two States exercise sovereign rights. Seaward of Australian reefs in the Coral Sea on the one hand and Solomon Islands reefs on the other hand, the line of delimitation between the Australian Fishing Zone and the Solomon Islands Exclusive Economic Zone and between areas of continental shelf over which each State respectively exercises sovereign rights in accordance with international law lies along the geodesics connecting the points as set out in Article I, defined by their co-ordinates, in the order stated. Any dispute between the two Governments arising out of the interpretation or implementation of this Agreement shall be settled peacefully by consultation or negotiation. (4 Articles)",Oceania | South Pacific | Melanesia,Sea,,,,,,,,
%,GENG-863,Agreement Between The Government Of Australia And The Government Of Sweden On Conditions And Controls For Nuclear Transfers For Peaceful Purposes Between Australia And Sweden And Exchange Of Letters,AUS,SWE,1981-03-18,1981-05-22,NA,,IEA-612,NA,,,Still in force | http://www.info.dfat.gov.au/Info/Treaties/treaties.nsf/AllDocIDs/B99D2B4851C2B55ECA256AE9000A0FD8 | http://www.comlaw.gov.au/Details/C2015C00078,http://www.google.ch/search?q=Agreement+Between+The+Government+Of+Australia+And+The+Government+Of+Sweden+On+Conditions+And+Controls+For+Nuclear+Transfers+For+Peaceful+Purposes+Between+Australia+And+Sweden+And+Exchange+Of+Letters+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=6NpRVcS8DYGasAHVjYDABw,No,GENG-1109,,,,Not Yet Assigned,100,No known secretariat,,Canberra,,,nuclear | nuclear transfers,,,ENERGY,,,,,,,,,,,,,,
%,GENG-1109,Exchange Of Notes Constituting An Agreement Between The Government Of Australia And The Government Of Sweden Concerning Arrangements Applying To Certain Nuclear Transfers Between Sweden And Third Countries,AUS,SWE,1991-01-15,1991-01-15,NA,,IEA-785,NA,,,Still in force | http://www.austlii.edu.au/au/legis/cth/consol_reg/nnr1987473/sch1.html,http://www.google.ch/search?q=Exchange+Of+Notes+Constituting+An+Agreement+Between+The+Government+Of+Australia+And+The+Government+Of+Sweden+Concerning+Arrangements+Applying+To+Certain+Nuclear+Transfers+Between+Sweden+And+Third+Countries+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=6NpRVYmpEoqcsAHSlYAw,No,,,GENG-863,,,,,,,NA,,,,,Energy,,,,,,,,,,,,,,
%,GENG-1611,Timor Sea Treaty,AUS,TLS,2002-05-20,2003-04-02,NA,,NA,TRE-150108,,,Still in force | http://www.info.dfat.gov.au/Info/Treaties/treaties.nsf/AllDocIDs/A8A223D015C50F8CCA256BC70008A0E2,http://www.google.ch/search?q=Timor+Sea+Treaty+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=6NpRVZi8IcmasgHs_oGIDQ,Yes,,,,GENG-1610,NA,NA,NA,www.un.org,NA,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-150108.pdf,English,oil | mining | exploration | international agreement-text | deep sea bed | marine pollution | disasters | oil pollution | institution,NA,NA,OCEAN,NA,20/5/2002,FALSE,"This Agreement between the Government of Australia and the Government of the Democratic Republic of East Timor provides for provisional arrangements between the Parties regarding the delimitation of the seabed in the Timor Sea which do not prejudice a final determination of the seabed delimitation, regulates various aspects of petroleum exploration and exploitation in the Timor Sea and provides for cooperation between the parties in the field of protection of the marine environment in the Timor Sea and various other matters of interest to the Parties. For purposes of this Treaty, a three-tiered joint administrative structure consisting of a Designated Authority, a Joint Commission and a Ministerial Council is established. The Designated Authority shall issue regulations to protect the marine environment in the Joint Petroleum Development Area. It shall establish a contingency plan for combating pollution from petroleum activities in that area.",Oceania | South Pacific | Indian Ocean | Asia | South-Eastern Asia,Sea | Mineral resources,,,,,,,,
