Common.Name,Membership,Type,Date.of.Signature,Date.of.Entry.into.Force,WTO.notified,In.force.status,Annexes.Available
Commonwealth of Independent States (CIS) Free Trade Agreement,"Armenia, Azerbaijan, Belarus, Georgia, Kazakhstan, Kyrgyzstan, Moldova, Russian Federation, Tajikistan, Ukraine, Uzbekistan",Regional/Plurilateral Free Trade Agreement,n/a,N/A,yes,in force,NA
Costa Rica - Mexico,"Costa Rica, Mexico",Bilateral Free Trade Agreement,04/05/1994,01/01/1995,yes,in force,NA
Costa Rica - Panama,"Costa Rica, Panama",Bilateral Free Trade Agreement,n/a,N/A,no,unknown,NA
Croatia - Lithuania,"Croatia, Lithuania",Bilateral Free Trade Agreement,10/24/2002,05/01/2003,no,in force,NA
Croatia - Macedonia (FYROM),"Croatia, Macedonia(Former Yugoslav Republic of Macedonia)",Bilateral Free Trade Agreement,n/a,N/A,yes,expired,NA
Croatia - Moldova,"Croatia, Moldova",Bilateral Free Trade Agreement,02/27/2004,10/01/2004,yes,in force,NA
Croatia - Serbia - Montenegro,"Croatia, Serbia, Montenegro",Association Free Trade Agreement,n/a,N/A,yes,expired,NA
Croatia - Slovenia,"Croatia, Slovenia",Bilateral Free Trade Agreement,12/12/1997,01/27/1999,yes,expired,NA
Croatia - Turkey,"Croatia, Turkey",Bilateral Free Trade Agreement,03/13/2002,07/01/2003,yes,in force,NA
Croatia-Bosnia-Herzegovina,"Bosnia, Croatia, Herzegovina",Regional/Plurilateral Free Trade Agreement,12/19/2000,N/A,yes,expired,NA
Czech Republic - Estonia,"Czech Republic, Estonia",Bilateral Free Trade Agreement,n/a,N/A,yes,expired,NA
Czech Republic - Israel,"Czech Republic, Israel",Bilateral Free Trade Agreement,n/a,N/A,yes,expired,NA
Czech Republic - Latvia,"Czech Republic, Latvia",Bilateral Free Trade Agreement,n/a,N/A,yes,expired,NA
Czech Republic - Lithuania,"Czech Republic, Lithuania",Bilateral Free Trade Agreement,n/a,N/A,yes,expired,NA
Czech Republic - Slovakia,"Czech Republic, Slovakia",Bilateral Free Trade Agreement,n/a,N/A,yes,expired,NA
Czech Republic - Turkey,"Czech Republic, Turkey",Bilateral Free Trade Agreement,n/a,N/A,yes,expired,NA
Dominican Republic - Panama,"Panama, Dominican Republic",Bilateral Free Trade Agreement,n/a,N/A,no,in force,NA
East African Community,"Kenya, Tanzania, Uganda, Burundi, Rwanda\r\n\r\n\r\n\r\n\r\n",Regional/Plurilateral Free Trade Agreement,11/30/1999,07/07/2000,yes,in force,NA
EC (10) Enlargement,"European Community (Belgium, Denmark, France, Germany, Ireland, Italy, Luxembourg, Netherlands, United Kingdom), Greece",Customs Union Accession Agreement,05/28/1979,01/01/1981,yes,in force,NA
EC (12) Enlargement,"European Community (Belgium, Denmark, France, Germany, Greece, Ireland, Italy, Luxembourg, Netherlands, United Kingdom), Portugal, Spain\r\n\r\n\r\n",Customs Union Accession Agreement,06/12/1985,01/01/1986,yes,in force,NA
EC (15) Enlargement,"European Community (Belgium, Denmark, France, Germany, Greece, Ireland, Italy, Luxembourg, Netherlands, Portugal, Spain, United Kingdom), Norway, Austria, Finland, Sweden",Customs Union Accession Agreement,06/24/1994,01/01/1995,yes,in force,NA
EC (25) Enlargement,"European Community (Austria, Belgium, Denmark, Germany, Greece, Finland, France, Ireland, Italy, Luxembourg, Netherlands, Portugal, Spain, Sweden, United Kingdom), Czech Republic, Cyprus, Estonia, Hungary, Latvia, Lithuania,  Malta, Poland, Slovenia, Slovak Republic",Customs Union Accession Agreement,04/16/2003,05/01/2004,yes,in force,NA
EC (27) Enlargement,"European Community (Austria, Belgium, Czech Republic, Cyprus, Denmark, Estonia, Germany, Greece, Finland, France, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Slovenia, Slovak Republic, Spain, Sweden, United Kingdom), Bulgaria, Romania\r\n",Customs Union Accession Agreement,04/25/2005,01/01/2007,yes,in force,NA
EC (9) Enlargement,Belgium; Denmark; France; Germany; Ireland; Italy; Luxembourg; Netherlands; United Kingdom,Customs Union Accession Agreement,01/22/1972,01/01/1973,yes,in force,NA
EC (Treaty of Rome),"Austria, Belgium, Denmark, Germany, Greece, Finland, France, Ireland, Italy, Luxembourg, Netherlands, Portugal, Spain, Sweden, United Kingdom",Customs Union Primary Agreement,03/25/1957,01/01/1958,yes,in force,NA
EC - Albania,"European Community (Austria, Belgium, Denmark, Finland France, Germany, Greece, Ireland, Italy, Luxemburg, Netherlands, Portugal, Spain Sweden, United Kingdom), Albania",Regional/Plurilateral Free Trade Agreement,06/12/2006,12/01/2006,yes,in force,NA
EC - Algeria,"European Community (Austria, Belgium, Denmark, Finland France, Germany, Greece, Ireland, Italy, Luxemburg, Netherlands, Portugal, Spain Sweden, United Kingdom), Algeria\r\n\r\n",Association Free Trade Agreement,04/26/1976,07/01/1976,yes,in force,NA
EC - Andorra,"European Community (Austria, Belgium, Denmark, Finland, France, Germany, Greece, Ireland, Italy, Luxembourg, Netherlands, Portugal, Spain, Sweden, United Kingdom), Andorra",Bilateral Free Trade Agreement,06/28/1990,07/01/1991,yes,in force,NA
EC - Bosnia - Herzegovina,"European Community (Austria, Belgium, Bulgaria, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovak Republic, Slovenia, Spain, Sweden, United Kingdom),\r\nBosnia and Herzegovina",Bilateral Free Trade Agreement,06/16/2008,07/01/2008,yes,in force,NA
EC - Bulgaria,"European Community (Belgium, Denmark, Germany, Greece, Spain, France, Ireland, Italy, Luxembourg, Netherlands, Portugal, United Kingdom), Bulgaria",Association Free Trade Agreement,n/a,12/31/1993,yes,in force,NA
EC - Cameroon,"European Community (Austria; Belgium; Bulgaria; Cyprus; Czech Republic; Denmark; Estonia; Finland; France; Germany; Greece; Hungary; Ireland; Italy; Latvia; Lithuania; Luxembourg; Malta; Netherlands; Poland; Portugal; Romania; Slovak Republic; Slovenia; Spain; Sweden; United Kingdom), Cameroon",Bilateral Free Trade Agreement,01/15/2009,10/01/2009,yes,in force,NA
EC - CARIFORUM States EPA,CARIFORUM States (Antigua and Barbuda; Bahamas; Barbados; Belize; Dominica; Dominican Republic; Grenada; Guyana; Jamaica; Saint Kitts and Nevis; Saint Lucia; Saint Vincent and the Grenadines; Suriname; Trinidad and Tobago)and European Community (Austria; Belgium; Bulgaria; Cyprus; Czech Republic; Denmark; Estonia; Finland; France; Germany; Greece; Hungary; Ireland; Italy; Latvia; Lithuania; Luxembourg; Malta; Netherlands; Poland; Portugal; Romania; Slovak Republic; Slovenia; Spain; Sweden; United Kingdom;),Bilateral Free Trade Agreement,10/15/2008,11/01/2008,yes,in force,NA
EC - Chile,"European Community (Austria, Belgium, Denmark, Germany, Finland, France, Greece, Ireland, Italy, Luxembourg, Netherlands, Portugal, Spain, Sweden, United Kingdom), Chile\r\n\r\n",Association Free Trade Agreement,04/26/2002,02/01/2003,yes,in force,NA
EC - Cote d'Ivoire,"European Community (Austria, Belgium, Bulgaria, Cyprus, Czech Republic, Denmark, Germany, Estonia, Finland, France, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovak Republic, Slovenia, Spain, Sweden, United Kingdom), Cote d'Ivoire",Bilateral Free Trade Agreement,11/26/2008,01/01/2009,yes,in force,NA
EC - Croatia,"European Community (Austria, Belgium, Bulgaria, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovak Republic, Slovenia, Spain, Sweden, United Kingdom), Croatia",Association Free Trade Agreement,10/29/2001,03/01/2002,yes,in force,NA
EC - Cyprus,"European Community (Belgium, Denmark, France, Germany, Greece, United Kingdom, Ireland, Italy, Luxembourg, Netherlands, Portugal, Spain), Cyprus",Association Free Trade Agreement,12/19/1972,06/01/1973,yes,in force,NA
EC - Czech Republic,"European Community (Austria, Belgium, Denmark, Finland, France, Germany, Greece, Ireland, Italy, Luxembourg, Netherlands, Portugal, Spain, Sweden, United Kingdom), Czech Republic\r\n\r\n",Association Free Trade Agreement,n/a,03/01/1992,yes,in force,NA
EC - Egypt,"EC, Egypt\r\n\r\n",Association Free Trade Agreement,12/18/1972,06/01/1977,yes,in force,NA
EC - Estonia,"European Community, European Atomic Energy Community, European Coal and Steel Community, Estonia",Association Free Trade Agreement,07/18/1994,01/01/1995,yes,in force,NA
